Volume,High/Low
1194100,0.15
467600,0.14
2183500,0.208
1977000,0.08
2955700,0.466
8279300,1.05
2374700,0.648
1674100,1.09
594900,0.46
3258200,1.01
5473100,0.5
3487800,0.91
3281900,1.18
2341800,0.67
2901100,0.49
1823200,0.557
4655300,0.79
5870300,1.45
3475000,0.97
1940600,0.53
1098200,0.6
1458500,0.83
1403600,0.576
1270100,1.05
2912700,1.22
1249400,1.24
3305700,2.24
2388100,1.060002
3997300,1.790001
1543000,1.4
1285400,1.439998
1365500,1.12
1684400,0.710001
1379800,1.389999
579000,0.767001
1203700,1.020999
1852700,1.322001
1415100,1.268
1291200,0.760001
978800,0.8
829400,0.949999
880600,0.799999
2632700,2.968
2419900,1.280001
2023800,0.764999
2049500,2.950001
2385000,1.98
3751300,3.249
7176400,2.14
2371900,1.22
2838200,1.1
2111200,1.77
1711900,1.49
1160300,1.1
1663800,1.18
1175000,1.04
1779200,1.44
3096300,1.69
2589000,1.74
2602600,0.95
1733900,1.17
1894700,0.8
799200,0.69
1462000,1.269
1533500,1.21
1525200,0.53
4083800,1.23
3268400,2.06
2377500,1.45
1634600,0.8
2630700,1.09
2363900,1.326
2760700,0.900001
3566400,1.858
2778600,1.390002
2448500,2.199
1640400,1.243999
2797600,1.739999
11444900,3.15
9594200,3
5725700,1.9
3649400,1.449999
3974800,0.970001
5242400,1.34
6358100,1.83
4574100,0.970001
9025000,2.73
13208900,3.809999
5183000,1.572001
7682400,1.66
17382300,3.350001
14175800,4.450001
12180000,2.23
24708100,4.05
17305200,3.280001
8694000,2.18
5879000,1.447001
7661200,2.359998
6474800,1.920001
11200600,3.84
15697100,3.660002
23177600,4.979999
14844000,3.219997
20525200,3.970002
27807800,4.990002
20116700,3.930001
14722200,3.674999
9699500,2.529999
15237000,4.380001
8798500,3.419998
7110000,2.41
9994100,2.950001
8143000,2.690003
17166500,6.290001
11135200,2.700001
18133000,3.580002
15449800,3.040001
46279500,2.64
29652100,5.619999
20096900,2.763001
12890300,2.830002
18711400,2.849999
24395600,4.150002
20055500,3.560001
13638000,2.310002
13891600,1.870003
9233100,2.200001
9790300,1.82
10303900,1.849998
11022300,2.800002
7927300,2.390002
5215800,1.339998
11732400,3.539999
13161000,2.859999
11668800,2.16
18160300,4.349999
11155100,2.290001
8417900,1.990002
15166900,2.889999
9975100,2.189999
9840200,2.938999
10971300,3.5
27022200,5.650002
11493800,1.799999
11040700,2.670002
7599900,1.190003
14494200,3.490001
8513200,1.640001
4402900,1.540001
4611300,1.59
6755100,1.900001
8890500,1.91
16120100,3.589998
9547200,1.727001
8417200,2.170002
12792800,2.010998
24298300,3.080002
7929900,2.270001
12503400,2.740002
8393100,1.949997
6016000,1.920002
6439000,1.950001
7599300,1.620003
26762600,4.630001
16781700,2.569999
16452900,3.930001
18584400,2.420002
8565800,2.490002
7733100,1.959999
50147500,4.183998
17915500,3.689998
12715300,4.5
8492500,2.649998
17851900,3.710003
29967000,3.530003
14763000,3.580002
50201000,8.979999
34987900,3.368999
49445400,3.754002
48095500,6.270001
36566600,3.100003
30988000,4.880002
19666000,3.09
14877600,4.948002
21008500,4.748996
21776800,2.189998
28655800,4.540001
32564100,3.850003
19002800,3.32
24122700,2.91
20483900,5.340004
34511900,3.850003
27202700,4.560002
65474600,2.68
37242500,4.169998
29572800,3.440003
31713500,2.189998
19134200,1.875
27246700,4.720001
36048200,3.670002
39295700,3.029999
49951400,3.27
70239700,2.670002
34853900,2.57
37578200,2.64
23078900,1.730004
32577900,3.290001
29019700,2.789997
27173700,2.889999
19740600,2.079998
24856800,3.279998
18077400,1.649998
19587600,1.919998
28877500,2.459999
31924100,2.779998
18198500,1.490002
21113400,3.020001
17118800,2.650001
12613500,2.117001
14407200,1.229999
50356100,3.279999
15999600,2.009999
33970500,3.580002
35497900,2.43
25892100,1.880001
25416700,2.66
18142500,1.979999
17707600,2.43
23223100,3.310002
15833100,2.272999
24757400,4.639999
15525300,2.720001
11952600,3.070004
14833500,2.290001
13044000,1.869999
15649000,2.950001
28733500,5.195
36523000,5.109997
13172800,2.393997
14363900,2.356998
12597000,1.770001
11735700,1.369999
26323200,4.209999
21196300,2.670002
21257500,3.849999
12148000,2.440003
12317800,3.520001
13863800,3.320999
6275300,2.536999
15618600,4.059998
13393800,2.220001
9497200,2.240002